"","ARHGAP5","BCOR","BMPR2","CACNA1D","CASP8","CIC","CIITA","CTNNB1","ERBB4","FAT4","FBN2","FGFR1","JAK1","MTOR","MYH11","NBEA","PIK3CA","PTPRB","PTPRK","RPL22","STAT6","TCF7L2"
"TCGA-AA-A00J-01A-02W-A005-10",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"TCGA-AA-A01Z-01A-11W-A096-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AY-4071-01A-01W-1073-09",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AY-6196-01A-11D-1719-10",0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
"TCGA-CM-5864-01A-01D-1650-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-CM-6679-01A-11D-1835-10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6533-01A-11D-1719-10",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6535-01A-11D-1719-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A1D0-01A-11D-A152-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"TCGA-DM-A28F-01A-11D-A16V-10",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"TCGA-F4-6806-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
"TCGA-G4-6293-01A-11D-1719-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"TCGA-G4-6317-01A-11D-1719-10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A01G-01A-01W-A005-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A03F-01A-11W-A096-10",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AD-6964-01A-11D-1924-10",0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
"TCGA-CK-6746-01A-11D-1835-10",0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0
"TCGA-D5-5540-01A-01D-1650-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-DM-A1D6-01A-21D-A152-10",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"TCGA-DM-A1D7-01A-11D-A152-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-F4-6459-01A-11D-1771-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3496-01A-21D-1835-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-AA-3524-01A-02W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3525-01A-02W-0833-10",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3527-01A-01W-0831-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3662-01A-01D-1719-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3851-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A004-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00A-01A-01W-A005-10",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A00U-01A-01W-A005-10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A01X-01A-21W-A096-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-A02O-01A-21W-A096-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A02Y-01A-43W-A096-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AZ-6608-01A-11D-1835-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-CK-6751-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TCGA-CM-4743-01A-01D-1719-10",0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0
"TCGA-CM-5344-01A-21D-1719-10",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"TCGA-CM-6167-01A-11D-1650-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-D5-6541-01A-11D-1719-10",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-F4-6703-01A-11D-1835-10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"TCGA-A6-4105-01A-02D-1771-10",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"TCGA-A6-6652-01A-11D-1771-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3666-01A-02W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TCGA-AA-3696-01A-01W-0900-09",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3837-01A-01W-0900-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-3846-01A-01W-0995-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AA-3861-01A-01W-0995-10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TCGA-AA-A029-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TCGA-AA-A02H-01A-01W-A00E-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCGA-AD-6548-01A-11D-1835-10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
